4.1	4.4
4.1	4
4.3	4.3
4.3	4.3
4.4	3.8
4.4	4.7
4.4	3.9
4.4	4.1
4.5	4.4
4.5	4.1
4.5	4.8
4.6	4.9
4.6	4.2
4.6	4.3
4.6	4.5
4.7	4.3
4.7	4.3
4.7	4.6
4.7	4.2
4.7	3.9
4.7	4.5
4.8	4.1
4.8	4.4
4.8	4.7
4.8	4.4
4.8	4.1
4.8	4.4
4.9	4.5
4.9	4.4
4.9	4.3
4.9	4.1
4.9	4.8
4.9	4.1
4.9	4.5
4.9	4.7
5	4.8
5	5.1
5	5.2
5	4.7
5.1	5.1
5.1	5.1
5.1	5
5.2	5.7
5.2	5.1
5.2	4.5
5.2	5.3
5.2	4.8
5.2	5
5.3	4.9
5.3	5.2
5.4	5.1
5.4	4.7
5.4	5.1
5.5	5.2
5.5	5
5.6	5.9
5.6	5.8
5.7	5.7
6.2	6.4
6.3	7
